kept_article_id,dropped_article_id,kept_title,dropped_title,reason
https://www.cambridgenetwork.co.uk/sectors/information-technology-and-telecoms,https://www.cambridgenetwork.co.uk/sectors/information-technology-and-telecoms,Information Technology and Telecoms,Information Technology and Telecoms,Near-duplicate (Jaccard >= 0.8)
https://www.cambridgenetwork.co.uk/sectors/information-technology-and-telecoms,https://www.cambridgenetwork.co.uk/sectors/information-technology-and-telecoms,Information Technology and Telecoms,Information Technology and Telecoms,Near-duplicate (Jaccard >= 0.8)
https://www.forbes.com/advisor/business/software/best-voip-service/,https://www.forbes.com/advisor/business/software/best-voip-service/,Best VoIP Services (April 2023),Best VoIP Services (April 2023),Near-duplicate (Jaccard >= 0.8)
https://www.suasnews.com/2022/12/altitude-angel-and-saab-to-partner-on-digital-tower-technology/,https://www.suasnews.com/2022/12/altitude-angel-and-saab-to-partner-on-digital-tower-technology/,Altitude Angel and Saab to partner on Digital Tower technology,Altitude Angel and Saab to partner on Digital Tower technology,Near-duplicate (Jaccard >= 0.8)
https://atos.net/en/2023/awards_2023_07_13/atos-named-a-leader-in-mainframe-services-and-solutions-by-information-services-group,https://atos.net/en/2023/awards_2023_07_13/atos-named-a-leader-in-mainframe-services-and-solutions-by-information-services-group,Atos named a Leader in mainframe services and solutions by Information Services Group,Atos named a Leader in mainframe services and solutions by Information Services Group,Near-duplicate (Jaccard >= 0.8)
https://www.bignewsnetwork.com/news/273139786/the-institution-of-engineering-and-technology-iet-successfully-concludes-iet-future-tech-congress-2022,https://news.webindia123.com/news/articles/Business/20221203/4010441.html,The Institution of Engineering and Technology (IET) successfully concludes IET Future Tech Congress 2022,The Institution of Engineering and Technology (IET) successfully concludes IET Future Tech Congress 2022,Near-duplicate (Jaccard >= 0.8)
https://healthtechmagazine.net/article/2023/06/3-technology-solutions-and-services-optimize-care,https://healthtechmagazine.net/article/2023/06/3-technology-solutions-and-services-optimize-care,3 Technology Solutions and Services to Optimize Care,3 Technology Solutions and Services to Optimize Care,Near-duplicate (Jaccard >= 0.8)
https://www.forbes.com/sites/forbestechcouncil/2023/09/11/five-signs-your-technology-service-provider-is-underperforming/,https://www.forbes.com/sites/forbestechcouncil/2023/09/11/five-signs-your-technology-service-provider-is-underperforming/,Five Signs Your Technology Service Provider Is Underperforming,Five Signs Your Technology Service Provider Is Underperforming,Near-duplicate (Jaccard >= 0.8)
https://www.qsrmagazine.com/sponsored/why-operators-need-full-service-technology-partner,https://www.qsrmagazine.com/sponsored/restaurant-tech-why-operators-need-full-service-technology-partner,Why Operators Need a Full-Service Technology Partner,Restaurant Tech: Why Operators Need a Full-Service Technology Partner,Near-duplicate (Jaccard >= 0.8)
https://www.usatoday.com/story/money/2023/01/09/spam-numbers-list-of-unwanted-calls-reported-to-federal-communications-commission/10940959002/,https://www.msn.com/en-us/money/companies/who-keeps-calling-me-look-up-numbers-flagged-as-potential-robo-calls-or-spam/ar-AA167TQZ,Who keeps calling me? Look up numbers flagged as potential robocalls or spam,Who keeps calling me? Look up numbers flagged as potential robo-calls or spam,Near-duplicate (Jaccard >= 0.8)
https://www.bgdailynews.com/news/national/stock-market-today-wall-street-is-mixed-big-tech-climbs/article_815039e2-8ef0-52bf-99cc-c83ecac30d4f.html,https://www.seattletimes.com/business/stock-market-today-asian-shares-mostly-rise-lifted-by-bull-market-on-wall-street/,Stock market today: Wall Street is mixed; Big Tech climbs,Stock market today: Wall Street is mixed; Big Tech climbs,Near-duplicate (Jaccard >= 0.8)
https://archive.org/details/kla.kar.nic.in-council-replies-159,https://archive.org/details/kla.kar.nic.in-council-replies-159-211,kla.kar.nic.in-council-replies-159,kla.kar.nic.in-council-replies-159-211,Near-duplicate (Jaccard >= 0.8)
https://archive.org/details/kla.kar.nic.in-council-replies-159,https://archive.org/details/kla.kar.nic.in-council-replies-159-149,kla.kar.nic.in-council-replies-159,kla.kar.nic.in-council-replies-159-149,Near-duplicate (Jaccard >= 0.8)
https://finance.yahoo.com/news/1kosmos-blockid-product-lines-now-130300372.html,https://www.benzinga.com/pressreleases/23/07/b33132238/1kosmos-blockid-product-lines-now-available-in-nayaone-fintech-marketplace,1Kosmos BlockID Product Lines Now Available in NayaOne FinTech Marketplace,1Kosmos BlockID Product Lines Now Available in NayaOne FinTech Marketplace,Near-duplicate (Jaccard >= 0.8)
